atlas_rank	manual_review_bucket	selection_track	bigscape_cc	shared_cc_primary_family_source	shared_cc_primary_families	shared_cc_all_family_aliases	shared_cc_record_count	shared_cc_dataset_genome_count	focus_ecology_label	shared_cc_focus_genome_count	shared_cc_nonfocus_genome_count	shared_cc_ecology_pattern	shared_cc_categories	shared_cc_classes	shared_cc_target_region_count	priority_shortlist_bucket	rank	priority_score	priority_tier	genome	ecology_group	antismash_region	funbgcex_cluster	antismash_class	gcf_id	gcf_ecology_pattern	gcf_genome_count	gcf_focus_genome_count	gcf_nonfocus_genome_count	consensus_support	annotation_support_tier	nearest_mibig_or_annotation_if_available	antismash_knowncluster_product	funbgcex_putative_product	recommended_followup	ranking_rationale	safe_claim_text
299	atlas_context	dataset_family_atlas	13915	mix	FAM_00971	FAM_00971;FAM_01635	1	1		0	1	present	NRPS;mix	NRPS	1		260	10	tier_2	Colletotrichum_higginsianum_IMI_349063	UNLABELED	NC_030961.1.region004	BGC80	NRPS	FAM_00971;FAM_01635	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0002710.2 | metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid; clustercompare 0.7682587147160448: dimethylcoprogen; FBGC00373 29.1: triacetylfusarinine C/hydroxyferricrocin	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	triacetylfusarinine C/hydroxyferricrocin	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Colletotrichum_higginsianum_IMI_349063 NC_030961.1.region004 represents BiG-SCAPE CC 13915 (FAM_00971) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0002710.2 | metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid; clustercompare 0.7682587147160448: dimethylcoprogen; FBGC00373 29.1: triacetylfusarinine C/hydroxyferricrocin, but product identity is not assigned.
300	atlas_context	dataset_family_atlas	11812	mix	FAM_00866	FAM_00866;FAM_01609	1	1		0	1	present	NRPS;mix	NRP-metallophore.NRPS	1		261	10	tier_2	Paracoccidioides_brasiliensis_Pb18	UNLABELED	NW_011371358.1.region001	BGC1	NRPS	FAM_00866;FAM_01609	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0002710.2 | metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid; clustercompare 0.7663521732024083: dimethylcoprogen; FBGC00372 46.8: triacetylfusarinine C/hydroxyferricrocin	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	triacetylfusarinine C/hydroxyferricrocin	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Paracoccidioides_brasiliensis_Pb18 NW_011371358.1.region001 represents BiG-SCAPE CC 11812 (FAM_00866) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0002710.2 | metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid; clustercompare 0.7663521732024083: dimethylcoprogen; FBGC00372 46.8: triacetylfusarinine C/hydroxyferricrocin, but product identity is not assigned.
301	atlas_context	dataset_family_atlas	19968	mix	FAM_01330	FAM_01330;FAM_01738	1	1		0	1	present	NRPS;mix	NRPS	1		262	10	tier_2	Verticillium_dahliae_VdLs.17	UNLABELED	NW_009276926.1.region002	BGC8	NRPS	FAM_01330;FAM_01738	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0002710.2 | metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid; clustercompare 0.7680859221828037: dimethylcoprogen; FBGC00373 29.0: triacetylfusarinine C/hydroxyferricrocin	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	triacetylfusarinine C/hydroxyferricrocin	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Verticillium_dahliae_VdLs.17 NW_009276926.1.region002 represents BiG-SCAPE CC 19968 (FAM_01330) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0002710.2 | metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid; clustercompare 0.7680859221828037: dimethylcoprogen; FBGC00373 29.0: triacetylfusarinine C/hydroxyferricrocin, but product identity is not assigned.
302	atlas_context	dataset_family_atlas	9159	NRPS.PKS	FAM_02370	FAM_02370	1	1		0	1	present	NRPS.PKS	NRPS.T1PKS	1		263	10	tier_2	Trichoderma_virens_Gv29-8	UNLABELED	NW_014013671.1.region001	BGC34	NRPS;PKS	FAM_00029;FAM_02370	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0002237.3 | dichlorodiaporthin; clustercompare 0.8202899744496908: alternariol; FBGC00755 58.2: spiromastixone L	dichlorodiaporthin	spiromastixone L	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Trichoderma_virens_Gv29-8 NW_014013671.1.region001 represents BiG-SCAPE CC 9159 (FAM_02370) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0002237.3 | dichlorodiaporthin; clustercompare 0.8202899744496908: alternariol; FBGC00755 58.2: spiromastixone L, but product identity is not assigned.
303	atlas_context	dataset_family_atlas	5459	PKS.terpene	FAM_02728	FAM_02728	1	1		0	1	present	PKS.terpene	T1PKS.terpene-precursor	1		264	10	tier_2	Podospora_anserina_S_mat	UNLABELED	NW_001914858.1.region001	BGC5	PKS;terpene	FAM_00050;FAM_02728	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_moderate	BGC0002161.2 | scytalone/T3HN; clustercompare 0.841151798452289: 1,3,5,8-tetrahydroxynapthalene, 1-(alpha-l-(2-O-methyl)-6-deoxymannopyranosyloxy)-3,6,8-trimethoxynaphthalene; FBGC00237 24.1: scytalone	scytalone/T3HN	scytalone	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=20; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=keyword	Podospora_anserina_S_mat NW_001914858.1.region001 represents BiG-SCAPE CC 5459 (FAM_02728) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0002161.2 | scytalone/T3HN; clustercompare 0.841151798452289: 1,3,5,8-tetrahydroxynapthalene, 1-(alpha-l-(2-O-methyl)-6-deoxymannopyranosyloxy)-3,6,8-trimethoxynaphthalene; FBGC00237 24.1: scytalone, but product identity is not assigned.
304	atlas_context	dataset_family_atlas	10149	mix	FAM_00772	FAM_00772;FAM_01585	1	1		0	1	present	NRPS;mix	NRPS-like	1		265	10	tier_2	Fusarium_graminearum_PH-1_NRRL_31084	UNLABELED	NC_026474.1.region003	BGC3	NRPS	FAM_00772;FAM_01585	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0000307.4 | AbT1; clustercompare 0.7065989078422835: choline; FBGC00189 32.0: fumisoquin C	AbT1	fumisoquin C	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Fusarium_graminearum_PH-1_NRRL_31084 NC_026474.1.region003 represents BiG-SCAPE CC 10149 (FAM_00772) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0000307.4 | AbT1; clustercompare 0.7065989078422835: choline; FBGC00189 32.0: fumisoquin C, but product identity is not assigned.
305	atlas_context	dataset_family_atlas	18729	mix	FAM_01265	FAM_01265;FAM_02169	1	1		0	1	present	mix;terpene	terpene	1		266	10	tier_2	Schizophyllum_commune_H4-8	UNLABELED	NW_026089549.1.region001	BGC33	terpene	FAM_01265;FAM_02169	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0002708.2 | (+)-δ-cadinol; clustercompare 0.8010574911654791: (+)-δ-cadinol; FBGC00448 79.2: germacrene A	(+)-δ-cadinol	germacrene A	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Schizophyllum_commune_H4-8 NW_026089549.1.region001 represents BiG-SCAPE CC 18729 (FAM_01265) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0002708.2 | (+)-δ-cadinol; clustercompare 0.8010574911654791: (+)-δ-cadinol; FBGC00448 79.2: germacrene A, but product identity is not assigned.
306	atlas_context	dataset_family_atlas	1237	mix	FAM_00301	FAM_00301;FAM_02483	1	1		0	1	present	PKS;mix	T1PKS	1		271	10	tier_2	Pyricularia_oryzae_70-15	UNLABELED	NC_017851.1.region008	BGC41	PKS	FAM_00301;FAM_02483	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0000012.3 | alternapyrone; clustercompare 0.7553532081767615: prolipyrone B, gibepyrone D; FBGC00744 68.4: alternapyrones	alternapyrone	alternapyrones	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Pyricularia_oryzae_70-15 NC_017851.1.region008 represents BiG-SCAPE CC 1237 (FAM_00301) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0000012.3 | alternapyrone; clustercompare 0.7553532081767615: prolipyrone B, gibepyrone D; FBGC00744 68.4: alternapyrones, but product identity is not assigned.
307	atlas_context	dataset_family_atlas	2777	mix	FAM_00378	FAM_00378;FAM_01475	1	1		0	1	present	NRPS;mix	NRPS	1		272	10	tier_2	Cordyceps_militaris_CM01	UNLABELED	NW_006271973.1.region001	BGC28	NRPS	FAM_00378;FAM_01475	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0002710.2 | metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid; clustercompare 0.7658298442716649: dimethylcoprogen; FBGC00373 29.4: triacetylfusarinine C/hydroxyferricrocin	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	triacetylfusarinine C/hydroxyferricrocin	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Cordyceps_militaris_CM01 NW_006271973.1.region001 represents BiG-SCAPE CC 2777 (FAM_00378) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0002710.2 | metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid; clustercompare 0.7658298442716649: dimethylcoprogen; FBGC00373 29.4: triacetylfusarinine C/hydroxyferricrocin, but product identity is not assigned.
308	atlas_context	dataset_family_atlas	3502	mix	FAM_00412	FAM_00412;FAM_02499	1	1		0	1	present	PKS;mix	T1PKS	1		273	10	tier_2	Coccidioides_immitis_RS	UNLABELED	NW_004504310.1.region002	BGC18	PKS	FAM_00412;FAM_02499	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0000046.4 | depudecin; clustercompare 0.6697017381853613: depudecin; FBGC00288 38.2: depudecin	depudecin	depudecin	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; FunBGCeX_similarity>=10; product_support=exact	Coccidioides_immitis_RS NW_004504310.1.region002 represents BiG-SCAPE CC 3502 (FAM_00412) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0000046.4 | depudecin; clustercompare 0.6697017381853613: depudecin; FBGC00288 38.2: depudecin, but product identity is not assigned.
309	atlas_context	dataset_family_atlas	15575	other.terpene	FAM_02796	FAM_02796	1	1		0	1	present	other.terpene	isocyanide.terpene	1		276	10	tier_2	Trichoderma_reesei_QM6a	UNLABELED	NW_006711178.1.region002	BGC40	terpene	FAM_00140;FAM_02796	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0002260.3 | trichobrasilenol/xylarenic acid B/brasilane A/brasilane F/brasilane E/brasilane D; clustercompare 0.6718019181624892: trichobrasilenol, xylarenic acid B, brasilane A, brasilane F, brasilane E, brasilane D; FBGC00163 73.5: brasilane E	trichobrasilenol/xylarenic acid B/brasilane A/brasilane F/brasilane E/brasilane D	brasilane E	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; FunBGCeX_similarity>=10; product_support=keyword	Trichoderma_reesei_QM6a NW_006711178.1.region002 represents BiG-SCAPE CC 15575 (FAM_02796) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0002260.3 | trichobrasilenol/xylarenic acid B/brasilane A/brasilane F/brasilane E/brasilane D; clustercompare 0.6718019181624892: trichobrasilenol, xylarenic acid B, brasilane A, brasilane F, brasilane E, brasilane D; FBGC00163 73.5: brasilane E, but product identity is not assigned.
310	atlas_context	dataset_family_atlas	7166	mix	FAM_00612	FAM_00612;FAM_01534	1	1		0	1	present	NRPS;mix	NRPS-like	1		278	10	tier_2	Paracoccidioides_brasiliensis_Pb18	UNLABELED	NW_011371358.1.region002	BGC2	NRPS	FAM_00612;FAM_01534	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_moderate	BGC0002167.2 | actinopolymorphol C/morpholine containing hemiacetal piperazine compound/piperazine compound 2/piperazine compound 1/3-(p-hydroxyphenyl)-1,2-propanediol/N,N-dioxide containing derivate/O-sulfonated actinopolymorphol C/C-3 sulfonylated derivative; clustercompare 0.7079529402681796: choline; FBGC00403 19.5: piperazine derivatives	actinopolymorphol C/morpholine containing hemiacetal piperazine compound/piperazine compound 2/piperazine compound 1/3-(p-hydroxyphenyl)-1,2-propanediol/N,N-dioxide containing derivate/O-sulfonated actinopolymorphol C/C-3 sulfonylated derivative	piperazine derivatives	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=20; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=keyword	Paracoccidioides_brasiliensis_Pb18 NW_011371358.1.region002 represents BiG-SCAPE CC 7166 (FAM_00612) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0002167.2 | actinopolymorphol C/morpholine containing hemiacetal piperazine compound/piperazine compound 2/piperazine compound 1/3-(p-hydroxyphenyl)-1,2-propanediol/N,N-dioxide containing derivate/O-sulfonated actinopolymorphol C/C-3 sulfonylated derivative; clustercompare 0.7079529402681796: choline; FBGC00403 19.5: piperazine derivatives, but product identity is not assigned.
311	atlas_context	dataset_family_atlas	7879	mix	FAM_00651	FAM_00651;FAM_01545	1	1		0	1	present	NRPS;mix	NRPS-like	1		279	10	tier_2	Blastomyces_gilchristii_SLH14081	UNLABELED	NW_003101655.1.region001	BGC20	NRPS	FAM_00651;FAM_01545	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_moderate	BGC0002167.2 | actinopolymorphol C/morpholine containing hemiacetal piperazine compound/piperazine compound 2/piperazine compound 1/3-(p-hydroxyphenyl)-1,2-propanediol/N,N-dioxide containing derivate/O-sulfonated actinopolymorphol C/C-3 sulfonylated derivative; clustercompare 0.7061426074809629: choline; FBGC00403 19.6: piperazine derivatives	actinopolymorphol C/morpholine containing hemiacetal piperazine compound/piperazine compound 2/piperazine compound 1/3-(p-hydroxyphenyl)-1,2-propanediol/N,N-dioxide containing derivate/O-sulfonated actinopolymorphol C/C-3 sulfonylated derivative	piperazine derivatives	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=20; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=keyword	Blastomyces_gilchristii_SLH14081 NW_003101655.1.region001 represents BiG-SCAPE CC 7879 (FAM_00651) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0002167.2 | actinopolymorphol C/morpholine containing hemiacetal piperazine compound/piperazine compound 2/piperazine compound 1/3-(p-hydroxyphenyl)-1,2-propanediol/N,N-dioxide containing derivate/O-sulfonated actinopolymorphol C/C-3 sulfonylated derivative; clustercompare 0.7061426074809629: choline; FBGC00403 19.6: piperazine derivatives, but product identity is not assigned.
312	atlas_context	dataset_family_atlas	7477	mix	FAM_00628	FAM_00628;FAM_02537	1	1		0	1	present	PKS;mix	T1PKS	1		280	10	tier_2	Metarhizium_robertsii_ARSEF_23	UNLABELED	NW_011942182.1.region008	BGC59	PKS	FAM_00628;FAM_02537	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0002175.3 | YWA1; clustercompare 0.7892626307681009: YWA1; FBGC00728 49.6: 1,8-dihydroxynaphthalene	YWA1	1,8-dihydroxynaphthalene	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Metarhizium_robertsii_ARSEF_23 NW_011942182.1.region008 represents BiG-SCAPE CC 7477 (FAM_00628) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0002175.3 | YWA1; clustercompare 0.7892626307681009: YWA1; FBGC00728 49.6: 1,8-dihydroxynaphthalene, but product identity is not assigned.
313	atlas_context	dataset_family_atlas	14106	mix	FAM_00984	FAM_00984;FAM_02390	1	1		0	1	present	NRPS.PKS;mix	NRPS.T1PKS	1		281	10	tier_2	Aspergillus_niger	UNLABELED	NT_166528.1.region003	BGC28	NRPS;PKS	FAM_00984;FAM_02390	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0002230.2 | tolypyridone C; clustercompare 0.7233186293158382: dimethylcoprogen; FBGC00292 15.7: cordypyrone B	tolypyridone C	cordypyrone B	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Aspergillus_niger NT_166528.1.region003 represents BiG-SCAPE CC 14106 (FAM_00984) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0002230.2 | tolypyridone C; clustercompare 0.7233186293158382: dimethylcoprogen; FBGC00292 15.7: cordypyrone B, but product identity is not assigned.
314	atlas_context	dataset_family_atlas	8166	mix	FAM_00668	FAM_00668;FAM_01551	1	1		0	1	present	NRPS;mix	NRPS-like	1		282	10	tier_2	Histoplasma_mississippiense_NAm1	UNLABELED	NW_001813974.1.region001	BGC3	NRPS	FAM_00668;FAM_01551	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_moderate	BGC0002167.2 | actinopolymorphol C/morpholine containing hemiacetal piperazine compound/piperazine compound 2/piperazine compound 1/3-(p-hydroxyphenyl)-1,2-propanediol/N,N-dioxide containing derivate/O-sulfonated actinopolymorphol C/C-3 sulfonylated derivative; clustercompare 0.7097251688897912: choline; FBGC00403 19.3: piperazine derivatives	actinopolymorphol C/morpholine containing hemiacetal piperazine compound/piperazine compound 2/piperazine compound 1/3-(p-hydroxyphenyl)-1,2-propanediol/N,N-dioxide containing derivate/O-sulfonated actinopolymorphol C/C-3 sulfonylated derivative	piperazine derivatives	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=20; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=keyword	Histoplasma_mississippiense_NAm1 NW_001813974.1.region001 represents BiG-SCAPE CC 8166 (FAM_00668) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0002167.2 | actinopolymorphol C/morpholine containing hemiacetal piperazine compound/piperazine compound 2/piperazine compound 1/3-(p-hydroxyphenyl)-1,2-propanediol/N,N-dioxide containing derivate/O-sulfonated actinopolymorphol C/C-3 sulfonylated derivative; clustercompare 0.7097251688897912: choline; FBGC00403 19.3: piperazine derivatives, but product identity is not assigned.
315	atlas_context	dataset_family_atlas	12852	mix	FAM_00920	FAM_00920;FAM_02585	1	1		0	1	present	PKS;mix	T1PKS	1		284	10	tier_2	Aspergillus_oryzae_RIB40	UNLABELED	NC_036439.1.region012	BGC62	PKS	FAM_00920;FAM_02585	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0001124.4 | pyranonigrin E; clustercompare 0.6367065284745815: prolipyrone B, gibepyrone D; FBGC00181 28.9: pyranonigrin A	pyranonigrin E	pyranonigrin A	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; FunBGCeX_similarity>=10; product_support=keyword	Aspergillus_oryzae_RIB40 NC_036439.1.region012 represents BiG-SCAPE CC 12852 (FAM_00920) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0001124.4 | pyranonigrin E; clustercompare 0.6367065284745815: prolipyrone B, gibepyrone D; FBGC00181 28.9: pyranonigrin A, but product identity is not assigned.
316	atlas_context	dataset_family_atlas	811	mix	FAM_00281	FAM_00281;FAM_01826	1	1		0	1	present	mix;terpene	terpene	1		286	10	tier_2	Talaromyces_marneffei_ATCC_18224	UNLABELED	DS995903.1.region002	BGC17	terpene	FAM_00281;FAM_01826	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0002260.3 | trichobrasilenol/xylarenic acid B/brasilane A/brasilane F/brasilane E/brasilane D; clustercompare 0.6346365031423065: trichobrasilenol, xylarenic acid B, brasilane A, brasilane F, brasilane E, brasilane D; FBGC00163 59.6: brasilane E	trichobrasilenol/xylarenic acid B/brasilane A/brasilane F/brasilane E/brasilane D	brasilane E	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; FunBGCeX_similarity>=10; product_support=keyword	Talaromyces_marneffei_ATCC_18224 DS995903.1.region002 represents BiG-SCAPE CC 811 (FAM_00281) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0002260.3 | trichobrasilenol/xylarenic acid B/brasilane A/brasilane F/brasilane E/brasilane D; clustercompare 0.6346365031423065: trichobrasilenol, xylarenic acid B, brasilane A, brasilane F, brasilane E, brasilane D; FBGC00163 59.6: brasilane E, but product identity is not assigned.
317	atlas_context	dataset_family_atlas	7633	mix	FAM_00640	FAM_00640;FAM_01960	1	1		0	1	present	mix;terpene	terpene	1		288	10	tier_2	Aspergillus_nidulans_FGSC_A4	UNLABELED	NC_066258.1.region005	BGC10	terpene	FAM_00640;FAM_01960	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0002603.2 | chevalone E; clustercompare 0.612672171009964: chevalone E; FBGC00019 64.0: chevalone E	chevalone E	chevalone E	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; FunBGCeX_similarity>=10; product_support=exact	Aspergillus_nidulans_FGSC_A4 NC_066258.1.region005 represents BiG-SCAPE CC 7633 (FAM_00640) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0002603.2 | chevalone E; clustercompare 0.612672171009964: chevalone E; FBGC00019 64.0: chevalone E, but product identity is not assigned.
318	atlas_context	dataset_family_atlas	14208	mix	FAM_00990	FAM_00990;FAM_01640	1	1		0	1	present	NRPS;mix	NRPS-like	1		290	10	tier_2	Histoplasma_mississippiense_NAm1	UNLABELED	NW_001813981.1.region004	BGC12	NRPS	FAM_00990;FAM_01640	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0002276.2 | choline; clustercompare 0.63746001662095: choline; FBGC00338 55.4: choline	choline	choline	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; FunBGCeX_similarity>=10; product_support=exact	Histoplasma_mississippiense_NAm1 NW_001813981.1.region004 represents BiG-SCAPE CC 14208 (FAM_00990) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0002276.2 | choline; clustercompare 0.63746001662095: choline; FBGC00338 55.4: choline, but product identity is not assigned.
319	atlas_context	dataset_family_atlas	16516	mix	FAM_01139	FAM_01139;FAM_01692	1	1		0	1	present	NRPS;mix	NRPS-like	1		291	10	tier_2	Talaromyces_marneffei_ATCC_18224	UNLABELED	DS995900.1.region010	BGC44	NRPS	FAM_01139;FAM_01692	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0002274.2 | aspulvinone H/aspulvinone B1; clustercompare 0.7632009653560973: aspulvinone H, aspulvinone B1; FBGC00600 47.2: atromentin	aspulvinone H/aspulvinone B1	atromentin	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Talaromyces_marneffei_ATCC_18224 DS995900.1.region010 represents BiG-SCAPE CC 16516 (FAM_01139) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0002274.2 | aspulvinone H/aspulvinone B1; clustercompare 0.7632009653560973: aspulvinone H, aspulvinone B1; FBGC00600 47.2: atromentin, but product identity is not assigned.
320	atlas_context	dataset_family_atlas	15452	mix	FAM_01072	FAM_01072;FAM_02107	1	1		0	1	present	mix;terpene	terpene	1		292	10	tier_2	Serpula_lacrymans_S7.9	UNLABELED	NW_006763291.1.region003	BGC5	terpene	FAM_01072;FAM_02107	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0002708.2 | (+)-δ-cadinol; clustercompare 0.8003598064259526: (+)-δ-cadinol; FBGC00448 71.5: germacrene A	(+)-δ-cadinol	germacrene A	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Serpula_lacrymans_S7.9 NW_006763291.1.region003 represents BiG-SCAPE CC 15452 (FAM_01072) with 1 clustered records across 1 dataset genomes. Annotation hints include BGC0002708.2 | (+)-δ-cadinol; clustercompare 0.8003598064259526: (+)-δ-cadinol; FBGC00448 71.5: germacrene A, but product identity is not assigned.
